date,temp_c,condition,wind,wind_speed_mps
2024-07-06,19.8,sol,svak vind,2.9
2024-07-07,17.2,regn,lett bris,4.4
2024-07-08,18.9,sol,svak vind,2.5
2024-07-09,17.0,regn,lett bris,4.8
2024-07-10,18.2,overskyet,lett bris,3.7
2024-07-11,18.7,regn,lett bris,4.0
2024-07-12,20.3,sol,svak vind,2.3
2024-07-13,19.4,sol,svak vind,2.8
2024-07-14,18.0,regn,lett bris,4.1
2024-07-15,21.2,sol,svak vind,2.4
2024-07-16,19.6,overskyet,lett bris,3.9
2024-07-17,18.4,regn,lett bris,4.5
2024-07-18,21.0,sol,svak vind,2.7
2024-07-19,19.2,regn,lett bris,4.3
2024-07-20,17.9,regn,lett bris,4.6
2024-07-21,20.5,sol,svak vind,2.2
2024-07-22,18.7,overskyet,lett bris,3.5
2024-07-23,19.4,regn,lett bris,4.0
2024-07-24,21.8,sol,svak vind,2.8
2024-07-25,20.1,sol,svak vind,2.6
2024-07-26,18.6,regn,lett bris,4.2
2024-07-27,19.8,overskyet,lett bris,3.9
2024-07-28,18.3,regn,lett bris,4.4
2024-07-29,20.7,sol,svak vind,2.5
2024-07-30,19.5,sol,svak vind,2.3
2024-07-31,17.4,regn,lett bris,4.7
2024-08-01,18.2,regn,lett bris,4.1
2024-08-02,19.0,overskyet,lett bris,3.8
2024-08-03,20.4,sol,svak vind,2.4
2024-08-04,17.9,regn,lett bris,4.2
2024-08-05,18.7,regn,lett bris,4.5
2024-08-06,19.3,overskyet,lett bris,3.7
2024-08-07,20.9,sol,svak vind,2.9
2024-08-08,18.4,regn,lett bris,4.0
2024-08-09,17.6,regn,lett bris,4.3
2024-08-10,19.8,overskyet,lett bris,3.9
2024-08-11,20.6,sol,svak vind,2.5
2024-08-12,18.1,regn,lett bris,4.4
2024-08-13,17.3,regn,lett bris,4.1
2024-08-14,19.1,overskyet,lett bris,3.6
2024-08-15,20.3,sol,svak vind,2.7
2024-08-16,18.0,regn,lett bris,4.8
2024-08-17,18.7,regn,lett bris,4.2
2024-08-18,19.5,overskyet,lett bris,3.9
2024-08-19,21.1,sol,svak vind,2.8
2024-08-20,18.9,regn,lett bris,4.5
2024-08-21,18.2,regn,lett bris,4.3
2024-08-22,19.4,overskyet,lett bris,3.7
2024-08-23,20.0,sol,svak vind,2.6
2024-08-24,17.8,regn,lett bris,4.1
2024-08-25,18.5,regn,lett bris,4.4
2024-08-26,19.3,overskyet,lett bris,3.8
2024-08-27,20.7,sol,svak vind,2.9
2024-08-28,18.3,regn,lett bris,4.2
2024-08-29,17.5,regn,lett bris,4.6
2024-08-30,19.0,overskyet,lett bris,3.9
2024-08-31,20.2,sol,svak vind,2.4
2024-09-01,16.8,regn,lett bris,4.3
2024-09-02,17.5,regn,lett bris,4.7
2024-09-03,18.1,overskyet,lett bris,3.6
2024-09-04,19.3,sol,svak vind,2.7
2024-09-05,16.9,regn,lett bris,4.2
2024-09-06,16.1,regn,lett bris,4.5
2024-09-07,17.4,overskyet,lett bris,3.9
2024-09-08,18.6,sol,svak vind,2.5
2024-09-09,16.3,regn,lett bris,4.1
2024-09-10,15.5,regn,lett bris,4.4
2024-09-11,17.0,overskyet,lett bris,3.7
2024-09-12,18.2,sol,svak vind,2.6
2024-09-13,15.8,regn,lett bris,4.8
2024-09-14,16.5,regn,lett bris,4.3
2024-09-15,17.3,overskyet,lett bris,3.8
2024-09-16,18.0,sol,svak vind,2.4
2024-09-17,15.6,regn,lett bris,4.2
2024-09-18,14.9,regn,lett bris,4.6
2024-09-19,16.2,overskyet,lett bris,3.9
2024-09-20,17.5,sol,svak vind,2.7
2024-09-21,15.1,regn,lett bris,4.1
2024-09-22,14.4,regn,lett bris,4.5
2024-09-23,15.9,overskyet,lett bris,3.8
2024-09-24,17.1,sol,svak vind,2.5
2024-09-25,14.7,regn,lett bris,4.3
2024-09-26,14.0,regn,lett bris,4.7
2024-09-27,15.3,overskyet,lett bris,3.6
2024-09-28,16.6,sol,svak vind,2.8
2024-09-29,14.2,regn,lett bris,4.4
2024-09-30,13.5,regn,lett bris,4.9
2024-10-01,10.4,regn,lett bris,4.8
2024-10-02,9.3,overskyet,lett bris,3.9
2024-10-03,8.1,regn,lett bris,4.2
2024-10-04,10.5,regn,lett bris,4.7
2024-10-05,9.7,regn,lett bris,4.3
2024-10-06,8.4,overskyet,svak vind,2.7
2024-10-07,7.9,regn,lett bris,4.5
2024-10-08,9.1,regn,lett bris,4.1
2024-10-09,8.3,overskyet,lett bris,3.8
2024-10-10,7.5,regn,lett bris,4.0
2024-10-11,9.6,regn,laber bris,8.9
2024-10-12,8.8,regn,lett bris,4.4
2024-10-13,7.2,overskyet,svak vind,2.3
2024-10-14,8.0,regn,lett bris,4.2
2024-10-15,9.4,regn,lett bris,4.7
2024-10-16,7.7,overskyet,lett bris,3.7
2024-10-17,6.9,regn,lett bris,4.1
2024-10-18,8.5,regn,laber bris,9.2
2024-10-19,7.1,overskyet,lett bris,3.9
2024-10-20,6.4,regn,lett bris,4.3
2024-10-21,7.8,regn,lett bris,4.5
2024-10-22,6.6,overskyet,svak vind,2.4
2024-10-23,5.9,regn,lett bris,4.0
2024-10-24,7.0,regn,laber bris,9.5
2024-10-25,6.2,regn,lett bris,4.6
2024-10-26,5.4,overskyet,lett bris,3.8
2024-10-27,4.7,regn,lett bris,4.1
2024-10-28,6.1,regn,lett bris,4.4
2024-10-29,5.3,overskyet,svak vind,2.6
2024-10-30,4.5,regn,lett bris,4.2
2024-10-31,5.7,regn,laber bris,9.7
2024-11-01,4.1,regn,lett bris,4.5
2024-11-02,3.3,regn,lett bris,4.8
2024-11-03,2.5,snø,svak vind,2.9
2024-11-04,4.7,regn,lett bris,4.3
2024-11-05,3.9,regn,lett bris,4.6
2024-11-06,2.8,overskyet,svak vind,2.4
2024-11-07,1.9,snø,svak vind,2.7
2024-11-08,4.3,regn,lett bris,4.2
2024-11-09,3.2,regn,lett bris,4.5
2024-11-10,2.4,snø,svak vind,2.6
2024-11-11,4.6,regn,lett bris,4.7
2024-11-12,3.7,regn,lett bris,4.1
2024-11-13,2.9,overskyet,svak vind,2.5
2024-11-14,2.1,snø,svak vind,2.8
2024-11-15,4.4,regn,lett bris,4.3
2024-11-16,3.5,regn,lett bris,4.6
2024-11-17,2.7,overskyet,svak vind,2.2
2024-11-18,1.9,snø,svak vind,2.9
2024-11-19,4.1,regn,lett bris,4.4
2024-11-20,3.3,regn,lett bris,4.7
2024-11-21,2.4,overskyet,svak vind,2.6
2024-11-22,1.6,snø,svak vind,2.8
2024-11-23,3.9,regn,lett bris,4.1
2024-11-24,3.1,regn,lett bris,4.5
2024-11-25,2.2,overskyet,svak vind,2.3
2024-11-26,1.4,snø,svak vind,2.7
2024-11-27,3.7,regn,lett bris,4.2
2024-11-28,2.9,regn,lett bris,4.6
2024-11-29,2.0,overskyet,svak vind,2.5
2024-11-30,1.2,snø,svak vind,2.9
2024-12-01,2.4,snø,svak vind,2.8
2024-12-02,3.6,regn,lett bris,4.1
2024-12-03,2.7,regn,lett bris,4.4
2024-12-04,1.9,snø,svak vind,2.6
2024-12-05,3.1,regn,lett bris,4.0
2024-12-06,2.3,overskyet,svak vind,2.3
2024-12-07,1.5,snø,svak vind,2.7
2024-12-08,3.8,regn,lett bris,4.3
2024-12-09,2.9,regn,lett bris,4.6
2024-12-10,2.1,overskyet,svak vind,2.4
2024-12-11,1.3,snø,svak vind,2.8
2024-12-12,3.5,regn,lett bris,4.2
2024-12-13,2.7,regn,lett bris,4.5
2024-12-14,1.8,overskyet,svak vind,2.6
2024-12-15,1.0,snø,svak vind,2.9
2024-12-16,3.3,regn,lett bris,4.1
2024-12-17,2.4,regn,lett bris,4.4
2024-12-18,1.6,overskyet,svak vind,2.5
2024-12-19,0.8,snø,svak vind,2.7
2024-12-20,3.1,regn,lett bris,4.3
2024-12-21,2.2,regn,lett bris,4.6
2024-12-22,1.4,overskyet,svak vind,2.4
2024-12-23,0.6,snø,svak vind,2.8
2024-12-24,2.9,regn,lett bris,4.2
2024-12-25,2.1,regn,lett bris,4.5
2024-12-26,1.3,overskyet,svak vind,2.6
2024-12-27,0.5,snø,svak vind,2.9
2024-12-28,2.8,regn,lett bris,4.1
2024-12-29,1.9,regn,lett bris,4.4
2024-12-30,1.1,overskyet,svak vind,2.5
2024-12-31,0.3,snø,svak vind,2.8
